gene_id	gene_pos_hg19	locus_rank	locus_pvalue	locus_pos_hg19	SZ_GWAS_prev	locus_genes	OMIM	SZ_GWAS_prev_study	KO_phenotype	ensembl_gene_id	hgnc_id	gene_symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	mult_matches
ENSG00000113013.8	chr5:137598121-137948092	69	4.67e-9	chr5:137598121-137948092	N	CDC25C;CTNNA1;EGR1;ETF1;N;FAM53C;GFRA3;HSPA9;KDM3B;REEP2	NA	NA	Ctnna1 nervous; Egr1 behavioral neurological nervous; Gfra3 nervous	ENSG00000113013	HGNC:5244	HSPA9	heat shock protein family A (Hsp70) member 9	protein-coding gene	gene with protein product	Approved	5q31.2	05q31.2	GRP75|PBP74|mot-2|mthsp75	mortalin2|mortalin|75 kDa glucose-regulated protein|Stress-70 protein, mitochondrial	HSPA9B	heat shock 70kDa protein 9B (mortalin-2)|heat shock 70kDa protein 9 (mortalin)	Heat shock 70kDa proteins	583	1997-09-12	2006-10-31	2015-11-19	2018-03-06	3313	OTTHUMG00000129206	uc003ldf.4	L11066	NM_004134	CCDS4208	P38646	7684501	MGI:96245	RGD:1311806	NA	HSPA9	600548	NA	NA	NA	NA	451821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000222937.1	chr5:137598121-137948092	69	4.67e-9	chr5:137598121-137948092	N	CDC25C;CTNNA1;EGR1;ETF1;N;FAM53C;GFRA3;HSPA9;KDM3B;REEP2	NA	NA	Ctnna1 nervous; Egr1 behavioral neurological nervous; Gfra3 nervous	ENSG00000222937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000206989.1	chr5:137598121-137948092	69	4.67e-9	chr5:137598121-137948092	N	CDC25C;CTNNA1;EGR1;ETF1;N;FAM53C;GFRA3;HSPA9;KDM3B;REEP2	NA	NA	Ctnna1 nervous; Egr1 behavioral neurological nervous; Gfra3 nervous	ENSG00000206989	HGNC:10220	SNORD63	small nucleolar RNA, C/D box 63	non-coding RNA	RNA, small nucleolar	Approved	5q31.2	05q31.2	U63|SNORD63A	NA	RNU63	RNA, U63 small nucleolar	Small nucleolar RNAs, C/D box	845	1999-12-14	2006-05-05	2006-05-05	2015-10-29	26785	NA	uc003ldg.3	U72852	NR_002913	NA	NA	8962077	NA	NA	NA	NA	NA	NA	NA	SR0000326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS00005BBB0D	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000044115.16	chr5:137598121-137948092	69	4.67e-9	chr5:137598121-137948092	N	CDC25C;CTNNA1;EGR1;ETF1;N;FAM53C;GFRA3;HSPA9;KDM3B;REEP2	NA	NA	Ctnna1 nervous; Egr1 behavioral neurological nervous; Gfra3 nervous	ENSG00000044115	HGNC:2509	CTNNA1	catenin alpha 1	protein-coding gene	gene with protein product	Approved	5q31.2	05q31.2	CAP102	alpha-E-catenin	NA	catenin (cadherin-associated protein), alpha 1 (102kD)	Alpha catenins	1543	1993-07-13	NA	2015-11-19	2017-08-07	1495	OTTHUMG00000163502	uc003ldh.4	D13866	NM_001903	CCDS34243|CCDS75315|CCDS78064	P35221	1924379	MGI:88274	RGD:1359485	NA	CTNNA1	116805	NA	NA	NA	NA	436845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000131495.4	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000131495	HGNC:7685	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	B8	complex I B8 subunit	NA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2 (8kD, B8)|NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	NADH:ubiquinone oxidoreductase supernumerary subunits	1150	1996-08-30	NA	2015-11-20	2016-10-05	4695	OTTHUMG00000129505	uc003lgp.4	AF047185	NM_002488	CCDS4234|CCDS54911	O43678	9425316|9763676	MGI:1343103	RGD:1309997	NA	NDUFA2	602137	NA	NA	NA	NA	252455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000113119.8	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000113119	HGNC:28814	TMCO6	transmembrane and coiled-coil domains 6	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	FLJ39769|PRO1580	NA	NA	NA	Armadillo-like helical domain containing	1492	2006-08-21	NA	NA	2014-11-19	55374	OTTHUMG00000129497	uc003lgl.4	BC001910	NM_018502	CCDS4233|CCDS75320	Q96DC7	12477932	MGI:1919233	RGD:1309263	NA	TMCO6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000113141.11	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000113141	HGNC:5958	IK	IK cytokine	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	RED|RER	NA	NA	IK cytokine, down-regulator of HLA II	Spliceosomal B complex	1507	1996-06-12	NA	2017-09-14	2017-09-14	3550	OTTHUMG00000163374	uc003lgq.4	BC051295	NM_006083	CCDS47280	Q13123	7970704	MGI:1345142	RGD:1359352	NA	IK	600549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000264052.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000264052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000120314.14	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000120314	HGNC:25971	WDR55	WD repeat domain 55	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	FLJ20195|FLJ21702	NA	NA	NA	WD repeat domain containing	362	2005-02-24	NA	NA	2014-11-19	54853	OTTHUMG00000129506	uc003lgr.5	AK000202	NM_017706	CCDS4235	Q9H6Y2	12477932	MGI:1915186	NA	NA	WDR55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000256453.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000256453	HGNC:23799	DND1	DND microRNA-mediated repression inhibitor 1	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	MGC34750|RBMS4	NA	NA	dead end homolog 1 (zebrafish)	RNA binding motif containing	725	2003-12-12	NA	2013-07-31	2014-11-19	373863	OTTHUMG00000129499	uc003lgt.4	AY321065	NM_194249	CCDS4236	Q8IYX4	12932328	MGI:2447763	RGD:1583648	NA	DND1	609385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000170445.8	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000170445	HGNC:4816	HARS	histidyl-tRNA synthetase	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	HisRS	histidine tRNA ligase 1, cytoplasmic|Jo‐1 antigen	USH3B	Usher syndrome 3B	Aminoacyl tRNA synthetases, Class II	132	2001-06-22	NA	NA	2018-10-24	3035	OTTHUMG00000129502	uc003lgv.6	AK000498	NM_002109	CCDS4237|CCDS58976|CCDS58977|CCDS58978|CCDS75323|CCDS75324	P12081	22279524	MGI:108087	RGD:1310695	NA	HARS	142810	NA	NA	NA	NA	303807	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1.1.21	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000112855.10	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000112855	HGNC:4817	HARS2	histidyl-tRNA synthetase 2, mitochondrial	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	HO3|HARSR	histidine tRNA ligase 2, mitochondrial (putative)	HARSL	histidyl-tRNA synthetase-like	Aminoacyl tRNA synthetases, Class II	132	2000-03-29	2007-02-23	2016-03-14	2016-03-14	23438	OTTHUMG00000129500	uc003lgx.5	U18937	NM_012208	CCDS4238|CCDS64267|CCDS87329|CCDS87330	P49590	7755634|21464306	MGI:1918041	RGD:1308426	NA	HARS2	600783	NA	NA	NA	NA	268052	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1.1.21	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000146007.6	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000146007	HGNC:26433	ZMAT2	zinc finger matrin-type 2	protein-coding gene	gene with protein product	Approved	5q31.3	05q31.3	FLJ31121|hSNU23|Snu23	NA	NA	NA	Zinc fingers matrin-type|Spliceosomal B complex	84|1507	2004-09-06	NA	2016-02-12	2016-10-05	153527	OTTHUMG00000129503	uc003lgy.2	AK055683	NM_144723	CCDS4239	Q96NC0	12477932	MGI:1913742	RGD:1583592	NA	ZMAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000199990.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000199990	HGNC:12654	VTRNA1-1	vault RNA 1-1	non-coding RNA	RNA, vault	Approved	5q31.3	05q31.3	vtRNA1-1|hvg-1|HVG1|vRNA|VR1	NA	VAULTRC1	vault RNA component 1	Vault RNAs	852	2000-07-31	2009-03-23	2009-03-23	2013-05-03	56664	NA	uc011czv.2	AF045143|BD247418	NR_026703	NA	NA	9535882|19298825|19491402	NA	NA	NA	NA	612695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS00005CCF67	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000202111.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000202111	HGNC:12655	VTRNA1-2	vault RNA 1-2	non-coding RNA	RNA, vault	Approved	5q31.3	05q31.3	vtRNA1-2|hvg-2|HVG2|VR2	NA	VAULTRC2	vault RNA component 2	Vault RNAs	852	2000-07-31	2009-03-23	2009-03-23	2013-05-03	56663	NA	uc011czw.2	AF045144|BD247419	NR_026704	NA	NA	9535882|19298825|19491402	NA	NA	NA	NA	612696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS0000000A8C	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000202515.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000202515	HGNC:12656	VTRNA1-3	vault RNA 1-3	non-coding RNA	RNA, vault	Approved	5q31.3	05q31.3	vtRNA1-3|hvg-3|HVG3|VR3	NA	VAULTRC3	vault RNA component 3	Vault RNAs	852	2000-07-31	2009-03-23	2009-03-23	2013-05-03	56662	NA	uc011czx.2	AF045145	NR_026705	NA	NA	9535882|19298825|19491402	NA	NA	NA	NA	612697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS000058CD99	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000250515.1	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000250515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000248106.2	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000248106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000204970.5	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000204970	HGNC:8663	PCDHA1	protocadherin alpha 1	other	complex locus constituent	Approved	5q31.3	05q31.3	NA	KIAA0345-like 13	NA	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-10-24	56147	OTTHUMG00000163368	uc003lhb.4	AF152479	NM_018900	CCDS54912|CCDS54913	Q9Y5I3	10380929	MGI:2150982	RGD:735016	NA	PCDHA1	606307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000204969.5	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000204969	HGNC:8668	PCDHA2	protocadherin alpha 2	other	complex locus constituent	Approved	5q31.3	05q31.3	NA	KIAA0345-like 12	NA	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-11-15	56146	OTTHUMG00000163363	uc003lhd.3	AF152480	NM_018905	CCDS54914|CCDS64269	Q9Y5H9	10380929	MGI:2681880	RGD:735182	NA	PCDHA2	606308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000255408.2	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000255408	HGNC:8669	PCDHA3	protocadherin alpha 3	other	complex locus constituent	Approved	5q31.3	05q31.3	PCDH-ALPHA3	KIAA0345-like 11	NA	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-11-15	56145	OTTHUMG00000163357	uc003lhf.2	AF152481	NM_018906	CCDS54915	Q9Y5H8	10380929	MGI:2447313	NA	NA	PCDHA3	606309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000204967.6	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000204967	HGNC:8670	PCDHA4	protocadherin alpha 4	other	complex locus constituent	Approved	5q31.3	05q31.3	CNR1|CRNR1|PCDH-ALPHA4|CNRN1	ortholog of mouse CNR1, KIAA0345-like 10	NA	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-11-15	56144	OTTHUMG00000163360	uc003lhi.4	AF152482	NM_018907	CCDS54916	Q9UN74	10380929|10662547	MGI:1298406	RGD:620337	NA	PCDHA4	606310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000204965.4	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000204965	HGNC:8671	PCDHA5	protocadherin alpha 5	other	complex locus constituent	Approved	5q31.3	05q31.3	CNR6|CRNR6|CNRN6|PCDH-ALPHA5	ortholog of mouse CNR6|KIAA0345-like 9	CNRS6	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-10-24	56143	OTTHUMG00000163367	uc003lhl.2	AF152483	NM_018908	CCDS54917	Q9Y5H7	10380929|10662547	MGI:1298371	RGD:735200	NA	PCDHA5	606311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000081842.13	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000081842	HGNC:8672	PCDHA6	protocadherin alpha 6	other	complex locus constituent	Approved	5q31.3	05q31.3	CNR2|CRNR2|PCDH-ALPHA6	KIAA0345-like 8	CNRS2	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-10-05	56142	OTTHUMG00000163353	uc003lho.4	AF152484	NM_018909	CCDS47281|CCDS47282	Q9UN73	10380929|10662547	MGI:1298367	RGD:735165	NA	PCDHA6	606312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000204963.4	chr5:140023664-140222664	108	4.85e-8	chr5:140023664-140222664	N	AC005609.1;CD14;DND1;HARS;HARS2;IK;NDUFA2;PCDHA1;PCDHA10;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;TMCO6;WDR55;ZMAT2	HARS Usher syndrome type 3B; HARS2 Perrault syndrome 2; NDUFA2 Leigh syndrome due to mitochondrial complex I deficiency	NA	NA	ENSG00000204963	HGNC:8673	PCDHA7	protocadherin alpha 7	other	complex locus constituent	Approved	5q31.3	05q31.3	CNR4|CRNR4	KIAA0345-like 7|ortholog to mouse CNR4	CNRS4	NA	Clustered protocadherins	20	2000-06-28	NA	NA	2016-10-24	56141	OTTHUMG00000163371	uc003lhq.2	AF152485	NM_018910	CCDS54918	Q9UN72	10380929|10662547	MGI:1298369	RGD:735055	NA	PCDHA7	606313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
