gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	mult_matches	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date
DYNLT3	DYNLT3	ok	NO	6.35e-5	0.054	2.03e-5	0.0522	NA	NA	0	HGNC:11694	dynein light chain Tctex-type 3	protein-coding gene	gene with protein product	Approved	Xp11.4	Xp11.4	TCTEX1L	NA	TCTE1L	t-complex-associated-testis-expressed 1-like	Dyneins, cytoplasmic	538	1994-12-19	2005-11-25	2016-03-02	2016-10-05	6990	ENSG00000165169	OTTHUMG00000033172	uc004dds.4	U02556	NM_006520	CCDS14243	P51808	8004092	MGI:1914367	RGD:1549755	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=DYNLT3	DYNLT3	300302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
TRPV1	TRPV1	ok	NO	3.84e-4	0.0926	3.34e-4	0.0726	0.061	0.196	0	HGNC:12716	transient receptor potential cation channel subfamily V member 1	protein-coding gene	gene with protein product	Approved	17p13.2	17p13.2	NA	NA	VR1	vanilloid receptor subtype 1|transient receptor potential cation channel, subfamily V, member 1	Transient receptor potential cation channels|Ankyrin repeat domain containing	249|403	1997-12-05	2002-02-01	2016-01-28	2016-01-28	7442	ENSG00000196689	OTTHUMG00000177649	uc010vru.3	AJ272063	NM_018727	CCDS45576	Q8NER1	9349813|11549313|16382100	MGI:1341787	RGD:628841	NA	TRPV1	602076	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:507	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
AP1S2	AP1S2	ok	NO	0.00195	0.131	1.08e-4	0.0522	NA	NA	0	HGNC:560	adaptor related protein complex 1 subunit sigma 2	protein-coding gene	gene with protein product	Approved	Xp22.2	Xp22.2	SIGMA1B	NA	MRX59|MRXS5|PGS	mental retardation, X-linked 59|mental retardation, X-linked, syndromic 5|Pettigrew X-linked mental retardation syndrome|adaptor related protein complex 1 sigma 2 subunit	X-linked mental retardation|Adaptor related protein complex 1	103|1671	2000-09-01	NA	2018-04-23	2018-04-23	8905	ENSG00000182287	OTTHUMG00000021186	uc004cxi.5	AB015320	NM_003916	CCDS14173|CCDS75958	P56377	9733768|17186471|23756445	MGI:1889383	RGD:1561862	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AP1S2	AP1S2	300629	NA	NA	NA	NA	137988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CBFA2T2	CBFA2T2	ok	NO	3.21e-4	0.0924	6.68e-4	0.0849	0.54	0.949	0	HGNC:1536	CBFA2/RUNX1 translocation partner 2	protein-coding gene	gene with protein product	Approved	20q11.21-q11.22	20q11.21-q11.22	MTGR1|ZMYND3	NA	NA	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	Zinc fingers MYND-type	87	1999-05-07	NA	2016-03-21	2018-02-13	9139	ENSG00000078699	OTTHUMG00000032261	uc002wze.2	AF052210	NM_001032999	CCDS13221|CCDS46590	O43439	9790752	MGI:1333833	RGD:1309088	NA	CBFA2T2	603672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MTA2	MTA2	ok	NO	4.4e-4	0.0926	5.84e-5	0.0522	0.589	0.433	0	HGNC:7411	metastasis associated 1 family member 2	protein-coding gene	gene with protein product	Approved	11q12.3	11q12.3	MTA1-L1	NA	MTA1L1	metastasis associated gene family, member 2	GATA zinc finger domain containing|Myb/SANT domain containing|NuRD complex	82|532|1305	1999-05-17	2003-12-17	2015-11-05	2016-10-05	9219	ENSG00000149480	OTTHUMG00000167684	uc001ntq.3	AB016591	NM_004739	CCDS8022|CCDS81576	O94776	9929979	MGI:1346340	RGD:1306743	NA	MTA2	603947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GTF2IRD1	GTF2IRD1	ok	NO	0.00657	0.176	1.44e-4	0.0548	0.9	0.236	0	HGNC:4661	GTF2I repeat domain containing 1	protein-coding gene	gene with protein product	Approved	7q11.23	07q11.23	MusTRD1|RBAP2|GTF3|WBSCR12|BEN|Cream1	binding factor for early enhancer	WBSCR11	GTF2I repeat domain-containing 1	NA	NA	1998-11-06	NA	2002-01-14	2014-11-18	9569	ENSG00000006704	OTTHUMG00000023782	uc032zrx.2	AF151354	NM_016328	CCDS5571|CCDS47613|CCDS56492	Q9UHL9	9774679|10198167	MGI:1861942	RGD:620856	NA	GTF2IRD1	604318	NA	NA	NA	NA	122319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
TRAF4	TRAF4	ok	NO	0.00146	0.13	0.00111	0.102	0.462	0.048	0	HGNC:12034	TNF receptor associated factor 4	protein-coding gene	gene with protein product	Approved	17q11.2	17q11.2	CART1|MLN62|RNF83	NA	NA	NA	Ring finger proteins|TNF receptor associated factors	58|1056	1999-05-07	NA	2015-11-20	2016-10-05	9618	ENSG00000076604	OTTHUMG00000132677	uc002hcs.4	X80200	NM_145751	CCDS11243	Q9BUZ4	7592751|7490069	MGI:1202880	RGD:1306708	NA	TRAF4	602464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MED12	MED12	ok	NO	3.07e-4	0.0924	0.00115	0.103	NA	NA	0	HGNC:11957	mediator complex subunit 12	protein-coding gene	gene with protein product	Approved	Xq13.1	Xq13.1	CAGH45|HOPA|OPA1|TRAP230|KIAA0192|OKS	NA	TNRC11|FGS1	trinucleotide repeat containing 11 (THR-associated protein, 230kDa subunit)|mediator of RNA polymerase II transcription, subunit 12 homolog (S. cerevisiae)|FG syndrome 1	Trinucleotide repeat containing|Mediator complex	775|1061	2000-01-27	2004-11-26	2007-07-30	2016-10-05	9968	ENSG00000184634	OTTHUMG00000021788	uc004dyy.4	U80742	NM_005120	CCDS43970	Q93074	9225980|10198638|17334363|20507344	MGI:1926212	RGD:1585896	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=MED12	MED12	300188	NA	NA	NA	NA	138486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ATF7	ATF7	ok	NO	4.16e-4	0.0926	0.00205	0.118	0.128	0.698	0	HGNC:792	activating transcription factor 7	protein-coding gene	gene with protein product	Approved	12q13.13	12q13.13	ATFA	NA	NA	NA	Basic leucine zipper proteins	506	2000-06-13	NA	NA	2016-01-15	11016	ENSG00000170653	OTTHUMG00000169776	uc001sdz.4	X52943	NM_001130059	CCDS44906|CCDS58238	P17544	1694576|11278933	MGI:2443472	RGD:1304940	NA	ATF7	606371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
STAU2	STAU2	ok	NO	0.00192	0.131	3.66e-4	0.0779	0.27	0.15	0	HGNC:11371	staufen double-stranded RNA binding protein 2	protein-coding gene	gene with protein product	Approved	8q21.11	08q21.11	39K2	NA	NA	staufen (Drosophila, RNA-binding protein) homolog 2|staufen, RNA binding protein, homolog 2 (Drosophila)	NA	NA	2000-01-07	NA	2013-06-05	2013-06-05	27067	ENSG00000040341	OTTHUMG00000164499	uc003xzm.4	Y19062	NM_001164380	CCDS6214|CCDS55244|CCDS55245|CCDS55246|CCDS55247|CCDS55248	Q9NUL3	10585778	MGI:1352508	RGD:621479	NA	STAU2	605920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GPSM2	GPSM2	ok	NO	0.00394	0.151	6.7e-4	0.0849	0.217	0.911	0	HGNC:29501	G protein signaling modulator 2	protein-coding gene	gene with protein product	Approved	1p13.3	01p13.3	LGN|Pins	NA	DFNB82	G-protein signalling modulator 2 (AGS3-like, C. elegans)|deafness, autosomal recessive 82|G-protein signaling modulator 2	Tetratricopeptide repeat domain containing|Deafness associated genes	769|1152	2004-02-03	NA	2017-04-13	2017-04-13	29899	ENSG00000121957	OTTHUMG00000011730	uc010ovc.3	AY136740	NM_013296	CCDS792	P81274	11832491|8973305|19888295|20602914|21348867	MGI:1923373	RGD:1560967	NA	GPSM2	609245	NA	NA	NA	NA	240651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GPRC5B	GPRC5B	ok	NO	1.02e-4	0.0693	0.00639	0.157	0.0836	0.884	0	HGNC:13308	G protein-coupled receptor class C group 5 member B	protein-coding gene	gene with protein product	Approved	16p12.3	16p12.3	RAIG-2	NA	NA	G protein-coupled receptor, family C, group 1, member B|G protein-coupled receptor, family C, group 5, member B|G protein-coupled receptor, class C, group 5, member B	G protein-coupled receptors, Class C orphans	285	2000-01-11	NA	2016-02-24	2016-10-06	51704	ENSG00000167191	OTTHUMG00000131460	uc002dgt.4	AF202640	NM_001304771	CCDS10581	Q9NZH0	10493829|10783259	MGI:1927596	RGD:1309510	NA	GPRC5B	605948	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:259	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CYCS	CYCS	ok	NO	0.00178	0.131	9.74e-5	0.0522	0.881	0.165	0	HGNC:19986	cytochrome c, somatic	protein-coding gene	gene with protein product	Approved	7p15.3	07p15.3	HCS|CYC	NA	NA	NA	NA	NA	2002-12-16	NA	NA	2018-12-06	54205	ENSG00000172115	OTTHUMG00000128495	uc003sxl.4	M22877	NM_018947	CCDS5393	P99999	11790791	MGI:88578	RGD:2451	LRG_876|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_876.xml	CYCS	123970	NA	NA	NA	NA	173240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
MBTD1	MBTD1	ok	NO	0.00318	0.146	9.95e-4	0.0977	0.812	0.334	0	HGNC:19866	mbt domain containing 1	protein-coding gene	gene with protein product	Approved	17q21.33	17q21.33	SA49P01|FLJ20055	NA	NA	NA	MBT domain containing	1263	2003-01-15	NA	NA	2015-04-21	54799	ENSG00000011258	OTTHUMG00000150442	uc002itr.4	AK000062	NM_017643	CCDS11581	Q05BQ5	NA	MGI:2143977	RGD:1592427	NA	MBTD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GEMIN8	GEMIN8	ok	NO	2.16e-5	0.0404	0.0184	0.204	NA	NA	0	HGNC:26044	gem nuclear organelle associated protein 8	protein-coding gene	gene with protein product	Approved	Xp22.2	Xp22.2	FLJ20514	NA	FAM51A1	family with sequence similarity 51, member A1|gem (nuclear organelle) associated protein 8	Gemins	1131	2004-09-06	2006-11-24	2015-11-06	2016-10-05	54960	ENSG00000046647	OTTHUMG00000021160	uc004cwb.4	BC020785	NM_017856	CCDS14159	Q9NWZ8	16434402	MGI:2384300	RGD:1359160	Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=GEMIN8	GEMIN8	300962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
CHDH	CHDH	ok	NO	4.35e-4	0.0926	0.00251	0.127	0.105	8.67e-4	0	HGNC:24288	choline dehydrogenase	protein-coding gene	gene with protein product	Approved	3p21.1	03p21.1	NA	NA	NA	NA	NA	NA	2004-11-24	NA	NA	2016-10-05	55349	ENSG00000016391	OTTHUMG00000158281	uc003dgz.4	AJ272267	NM_018397	CCDS2873	Q8NE62	NA	MGI:1860776	RGD:735166	NA	CHDH	NA	NA	NA	NA	NA	470092	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1.99.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SLC48A1	SLC48A1	ok	NO	5.56e-4	0.0926	0.00222	0.123	NA	NA	0	HGNC:26035	solute carrier family 48 member 1	protein-coding gene	gene with protein product	Approved	12q13.11	12q13.11	FLJ20489|hHRG-1|HRG1	NA	NA	solute carrier family 48 (heme transporter), member 1	Solute carriers	752	2008-10-17	NA	2016-02-17	2016-02-17	55652	ENSG00000211584	OTTHUMG00000156983	uc001rqd.4	NA	NM_017842	CCDS8755	Q6P1K1	18418376	MGI:1914989	RGD:1562880	NA	SLC48A1	612187	NA	NA	NA	SLC48A1	NA	NA	NA	NA	NA	objectId:1218	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
