gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	PheGenI_n	PheGenI_evidence	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	mult_matches
ADGRL2	ADGRL2	ok	1	rs184597564, ADGRL2, PMID:27400856	HGNC:18582	adhesion G protein-coupled receptor L2	protein-coding gene	gene with protein product	Approved	1p31.1	01p31.1	KIAA0786|LEC1	NA	LPHH1|LPHN2	latrophilin 1|latrophilin 2	Adhesion G protein-coupled receptors, subfamily L	918	2002-04-26	2015-03-03	2015-03-03	2015-09-11	23266	ENSG00000117114	OTTHUMG00000009844	NA	AJ131581	NM_012302	CCDS689|CCDS72811|CCDS76174|CCDS81345	O95490	10760572|25713288	MGI:2139714	RGD:620835	NA	NA	607018	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:207	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADGRL4	ADGRL4	ok	3	rs4650608, RPL23P3 and ADGRL4, PMID:24280982; rs4650608, RPL23P3 and ADGRL4, PMID:23453885; rs10873998, RPL23P3 and ADGRL4, PMID:23453885	HGNC:20822	adhesion G protein-coupled receptor L4	protein-coding gene	gene with protein product	Approved	1p31.1	01p31.1	ETL	NA	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1	Adhesion G protein-coupled receptors, subfamily L	918	2003-04-29	2015-03-03	2015-03-03	2016-10-05	64123	ENSG00000162618	OTTHUMG00000009738	NA	AF192403	NM_022159	CCDS41352	Q9HBW9	11050079|25713288	MGI:2655562	RGD:621136	NA	NA	616419	NA	NA	NA	NA	NA	NA	NA	P02.013	NA	objectId:181	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADGRV1	ADGRV1	ok	1	rs2247419, ADGRV1, PMID:26198764	HGNC:17416	adhesion G protein-coupled receptor V1	protein-coding gene	gene with protein product	Approved	5q14.3	05q14.3	DKFZp761P0710|KIAA0686|FEB4|VLGR1	NA	USH2C|MASS1|GPR98	monogenic, audiogenic seizure susceptibility 1 homolog (mouse)|G protein-coupled receptor 98	Adhesion G protein-coupled receptors, subfamily V|USH2 complex 	919|1244	2002-09-17	2015-03-03	2015-03-03	2018-12-06	84059	ENSG00000164199	OTTHUMG00000162668	NA	AB014586	NM_032119	CCDS47246	Q8WXG9	10976914|14740321|25713288	MGI:1274784	RGD:1562101	LRG_1095|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_1095.xml	NA	602851	NA	NA	NA	NA	122270	NA	NA	NA	NA	objectId:189	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADH5P2	ADH5P2	ok	1	rs1524183, ADH5P2 and HMGB1P18, PMID:0	HGNC:22976	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2	pseudogene	pseudogene	Approved	1p31.1	01p31.1	NA	NA	NA	NA	NA	NA	2003-08-13	NA	NA	2014-11-19	343296	ENSG00000232676	OTTHUMG00000009701	NA	NA	NG_008685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADRA1D	ADRA1D	ok	1	rs159788, ADRA1D and RPL7AP12, PMID:23453885	HGNC:280	adrenoceptor alpha 1D	protein-coding gene	gene with protein product	Approved	20p13	20p13	ADRA1R|ADRA1A|ADRA1	NA	NA	adrenergic, alpha-1D-, receptor	Adrenoceptors	169	1990-09-10	NA	2012-05-09	2014-11-19	146	ENSG00000171873	OTTHUMG00000031779	uc002wkr.3	U03864	NM_000678	CCDS13079	P25100	8039425	MGI:106673	RGD:62064	NA	ADRA1D	104219	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:24	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AFF3	AFF3	ok	1	rs28425639, AFF3, PMID:27846195	HGNC:6473	AF4/FMR2 family member 3	protein-coding gene	gene with protein product	Approved	2q11.2	02q11.2	MLLT2-like	NA	LAF4	lymphoid nuclear protein related to AF4|AF4/FMR2 family, member 3	AF4/FMR2 family|Super elongation complex	1145|1280	1998-03-27	2005-06-27	2015-11-18	2016-10-05	3899	ENSG00000144218	OTTHUMG00000153011	uc002tah.2	U34360	NM_002285	CCDS33258|CCDS42723	P51826	8662235|8555498	MGI:106927	RGD:1308527	NA	AFF3	601464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AGAP1	AGAP1	ok	2	rs13025591, AGAP1, PMID:22688191; rs13025591, AGAP1, PMID:21926974	HGNC:16922	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	protein-coding gene	gene with protein product	Approved	2q37.2	02q37.2	KIAA1099|GGAP1	NA	CENTG2	centaurin, gamma 2	ArfGAPs|Ankyrin repeat domain containing|Pleckstrin homology domain containing|BAR-PH domain containing	395|403|682|1291	2001-10-29	2008-09-22	2008-09-22	2016-10-05	116987	ENSG00000157985	OTTHUMG00000133293	uc002vvt.4	AF413078	NM_014914	CCDS2514|CCDS33408|CCDS58756	Q9UPQ3	NA	MGI:2653690	RGD:1309244	NA	AGAP1	608651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AGBL1	AGBL1	ok	1	rs16977195, AGBL1, PMID:18347602	HGNC:26504	ATP/GTP binding protein like 1	protein-coding gene	gene with protein product	Approved	15q25.3	15q25.3	FLJ32310|CCP4	cytosolic carboxypeptidase 4	NA	NA	M14 carboxypeptidases|Armadillo-like helical domain containing	1321|1492	2004-11-19	NA	2016-06-21	2017-05-11	123624	ENSG00000273540	OTTHUMG00000149978	uc002blz.2	AK056872	NM_152336	CCDS58398	Q96MI9	21074048|24094747	MGI:3646469	RGD:1560280	NA	AGBL1	615496	NA	NA	NA	NA	368101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AGER	AGER	ok	1	rs1800625, AGER, PMID:26876947	HGNC:320	advanced glycosylation end-product specific receptor	protein-coding gene	gene with protein product	Approved	6p21.32	06p21.32	RAGE|SCARJ1	receptor for advanced glycation end-products	NA	NA	C2-set domain containing|Immunoglobulin like domain containing|Scavenger receptors	592|594|1253	1994-10-17	NA	2016-07-18	2016-10-05	177	ENSG00000204305	OTTHUMG00000031120	uc003oal.3	M91211	NM_001136	CCDS4746|CCDS4747|CCDS56417|CCDS56418|CCDS75429	Q15109	7713518	MGI:893592	RGD:69258	NA	AGER	600214	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2843	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AGO4	AGO4	ok	1	rs11264213, AGO4, PMID:26198764	HGNC:18424	argonaute RISC catalytic component 4	protein-coding gene	gene with protein product	Approved	1p34.3	01p34.3	hAGO4|KIAA1567|FLJ20033	argonaute 4	EIF2C4	eukaryotic translation initiation factor 2C, 4	Argonaute/PIWI family	408	2002-04-26	2013-02-15	2018-11-09	2018-11-09	192670	ENSG00000134698	OTTHUMG00000004243	uc001bzj.3	AB046787	NM_017629	CCDS397	Q9HCK5	12906857	MGI:1924100	RGD:1304583	NA	NA	607356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AGTRAP	AGTRAP	ok	1	rs4846033, DRAXIN and AGTRAP, PMID:18347602	HGNC:13539	angiotensin II receptor associated protein	protein-coding gene	gene with protein product	Approved	1p36.22	01p36.22	ATRAP	NA	NA	NA	NA	NA	2002-09-12	NA	2016-01-12	2018-02-19	57085	ENSG00000177674	OTTHUMG00000002230	uc001asv.4	AF165187	NM_020350	CCDS136|CCDS30585|CCDS30586|CCDS41248|CCDS44056	Q6RW13	11733189	MGI:1339977	RGD:1359346	NA	AGTRAP	608729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AHCYP5	AHCYP5	ok	1	rs72925918, HNRNPA1P47 and AHCYP5, PMID:26198764	HGNC:44997	adenosylhomocysteinase pseudogene 5	pseudogene	pseudogene	Approved	2q32.3	02q32.3	NA	NA	NA	NA	NA	NA	2013-01-04	NA	NA	2013-01-04	391470	ENSG00000213107	OTTHUMG00000154377	NA	NA	NG_021544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000240468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AIG1	AIG1	ok	1	rs9403484, AIG1, PMID:26198764	HGNC:21607	androgen induced 1	protein-coding gene	gene with protein product	Approved	6q24.2	06q24.2	dJ95L4.1|AIG-1|FLJ10485	NA	NA	NA	NA	NA	2003-06-26	NA	2016-07-01	2016-10-05	51390	ENSG00000146416	OTTHUMG00000015721	uc003qjh.5	AF153605	NM_016108	CCDS5198|CCDS69216|CCDS69215|CCDS87450	Q9NVV5	11266118	MGI:1913503	RGD:1562920	NA	AIG1	608514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AKIRIN2	AKIRIN2	ok	1	rs9359762, AKIRIN2 and SPACA1, PMID:26249676	HGNC:21407	akirin 2	protein-coding gene	gene with protein product	Approved	6q15	06q15	FLJ10342|dJ486L4.2	NA	C6orf166	chromosome 6 open reading frame 166	NA	NA	2003-06-12	2008-06-23	2008-06-23	2014-11-19	55122	ENSG00000135334	OTTHUMG00000015180	uc003pmk.4	BC000764	NM_018064	CCDS5013	Q53H80	NA	MGI:1889364	RGD:1307791	NA	AKIRIN2	615165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
AKT3	AKT3	ok	2	rs14403, AKT3, PMID:23974872; rs13376709, AKT3, PMID:26198764	HGNC:393	AKT serine/threonine kinase 3	protein-coding gene	gene with protein product	Approved	1q43-q44	01q43-q44	PKBG|RAC-gamma|PRKBG	protein kinase B, gamma	NA	v-akt murine thymoma viral oncogene homolog 3	Pleckstrin homology domain containing|AGC family kinases	682|1625	1999-11-16	NA	2016-05-04	2018-02-13	10000	ENSG00000117020	OTTHUMG00000039994	uc057qvr.1	AF124141	NM_181690	CCDS31076|CCDS31077	Q9Y243	10092583|10208883	MGI:1345147	RGD:62390	NA	AKT3	611223	NA	NA	NA	NA	299660	NA	NA	NA	NA	objectId:2286	NA	NA	NA	NA	2.7.11.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ALDH1L1-AS2	ALDH1L1-AS2	ok	1	rs9851868, ALDH1L1-AS2 and KLF15, PMID:0	HGNC:42446	ALDH1L1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	3q21.3	03q21.3	NA	NA	NA	ALDH1L1 antisense RNA 2 (non-protein coding)	NA	NA	2011-07-28	NA	2012-08-15	2014-11-19	100862662	ENSG00000246022	OTTHUMG00000162642	uc062nki.1	NA	NR_046383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS000075DB32	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ALKBH1	ALKBH1	ok	5	rs59721556, SPTLC2 and ALKBH1, PMID:27846195; rs59721556, SPTLC2 and ALKBH1, PMID:27846195; rs12434701, SPTLC2 and ALKBH1, PMID:27846195; rs59721556, SPTLC2 and ALKBH1, PMID:27846195; rs59721556, SPTLC2 and ALKBH1, PMID:27846195	HGNC:17911	alkB homolog 1, histone H2A dioxygenase	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	hABH|alkB|ABH	NA	ALKBH	alkB, alkylation repair homolog (E. coli)|alkB, alkylation repair homolog 1 (E. coli)	Alkylation repair homologs	401	2002-11-27	2006-02-09	2015-06-26	2016-10-05	8846	ENSG00000100601	OTTHUMG00000171542	uc001xuc.2	X91992	NM_006020	CCDS32127	Q13686	8600462|22961808	MGI:2384034	RGD:1308327	NA	ALKBH1	605345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
