Entry	Trait	SNP_rsID	anno_class	gene1_symbol	gene1_ID	gene2_symbol	gene2_ID	car	pos	PValue	source	PubMed	analysis_ID	study_ID	study_name	population
29	Schizophrenia	2851447	intron	MPHOSPH9	10198	MPHOSPH9	10198	12	123180566	2E-14	NHGRI	25056061				East Asian|Asian|European
30	Schizophrenia	2102949	intron	MPHOSPH9	10198	MPHOSPH9	10198	12	123192216	2E-14	NHGRI	26198764				Arab
31	Schizophrenia	4129585	intron	TSNARE1	203062	TSNARE1	203062	8	142231572	8E-14	NHGRI	26198764				Arab
32	Schizophrenia	4702	nearGene-5	FES	2242	FES	2242	15	90883330	8E-14	NHGRI	25056061				East Asian|Asian|European
33	Schizophrenia	4702	UTR-3	FURIN	5045	FURIN	5045	15	90883330	8E-14	NHGRI	25056061				East Asian|Asian|European
34	Schizophrenia	75968099	intergenic	HSPD1P6	645548	TRANK1	9881	3	36817092	1E-13	NHGRI	25056061				East Asian|Asian|European
35	Schizophrenia	12668848	intron	MAD1L1	8379	MAD1L1	8379	7	1981360	1E-13	NHGRI	26198764				Arab
36	Schizophrenia	12887734	intron	APOPT1	84334	APOPT1	84334	14	103580497	1E-13	NHGRI	25056061				East Asian|Asian|European
37	Schizophrenia	4391122	intergenic	CTC-436P18.1	101928630	ZSWIM6	57688	5	61302716	2E-13	NHGRI	26198764				Arab
38	Schizophrenia	12887734	intron	APOPT1	84334	APOPT1	84334	14	103580497	2E-13	NHGRI	26198764				Arab
39	Schizophrenia	8042374	intron	CHRNA3	1136	CHRNA3	1136	15	78615690	2E-13	NHGRI	25056061				East Asian|Asian|European
40	Schizophrenia	13240464	intron	IMMP2L	83943	IMMP2L	83943	7	111258859	3E-13	NHGRI	26198764				Arab
41	Schizophrenia	13240464	intron	IMMP2L	83943	IMMP2L	83943	7	111258859	3E-13	NHGRI	25056061				East Asian|Asian|European
42	Schizophrenia	7085104	nearGene-5	AS3MT	57412	AS3MT	57412	10	102869116	4E-13	NHGRI	23974872				European
43	Schizophrenia	7085104	intron	C10orf32-ASMT	100528007	C10orf32-ASMT	100528007	10	102869116	4E-13	NHGRI	23974872				European
44	Schizophrenia	6461049	intron	MAD1L1	8379	MAD1L1	8379	7	1977810	6E-13	NHGRI	23974872				European
45	Schizophrenia	1006737	intron	CACNA1C	775	CACNA1C	775	12	2236129	6E-13	NHGRI	24280982				European
46	Schizophrenia	72934570	intergenic	RPL21P126	100271449	LOC642484	642484	18	55865958	7E-13	NHGRI	26198764				Arab
47	Schizophrenia	11682175	intergenic	EIF2S2P7	647016	VRK2	7444	2	57760458	1E-12	NHGRI	26198764				Arab
48	Schizophrenia	6932590	intergenic	TRV-CAC2-1	100189363	TRI-AAT10-1	100189462	6	27281152	1E-12	NHGRI	19571808				European
49	Schizophrenia	55661361	intron	NRGN	4900	NRGN	4900	11	124744061	1E-12	NHGRI	26198764				Arab
50	Schizophrenia	55661361	intron	LOC102724457	102724457	LOC102724457	102724457	11	124744061	1E-12	NHGRI	26198764				Arab
51	Schizophrenia	10791097	intron	LOC100507431	100507431	LOC100507431	100507431	11	130848735	1E-12	NHGRI	25056061				East Asian|Asian|European
52	Schizophrenia	8042374	intron	CHRNA3	1136	CHRNA3	1136	15	78615690	1E-12	NHGRI	26198764				Arab
53	Schizophrenia	9636107	intron	TCF4	6925	TCF4	6925	18	55532886	1E-12	NHGRI	26198764				Arab
54	Schizophrenia	12129573	intergenic	KRT8P21	126811	LRRIQ3	127255	1	73302683	2E-12	NHGRI	25056061				East Asian|Asian|European
55	Schizophrenia	1198588	intergenic	NFU1P2	100132699	SNX7	51375	1	98087276	2E-12	NHGRI	23974872				European
56	Schizophrenia	11693094	intron	ZNF804A	91752	ZNF804A	91752	2	184736693	2E-12	NHGRI	25056061				East Asian|Asian|European
57	Schizophrenia	6704768	intron	GIGYF2	26058	GIGYF2	26058	2	232727791	2E-12	NHGRI	25056061				East Asian|Asian|European
58	Schizophrenia	778371	nearGene-3	NGEF	25791	NGEF	25791	2	232878399	2E-12	NHGRI	26198764				Arab
59	Schizophrenia	75968099	intergenic	HSPD1P6	645548	TRANK1	9881	3	36817092	2E-12	NHGRI	26198764				Arab
60	Schizophrenia	13107325	missense	SLC39A8	64116	SLC39A8	64116	4	102267552	2E-12	NHGRI	26198764				Arab
61	Schizophrenia	2021722	intron	TRIM26	7726	TRIM26	7726	6	30206354	2E-12	NHGRI	21926974				European
62	Schizophrenia	2021722	intron	TRIM26	7726	TRIM26	7726	6	30206354	2E-12	NHGRI	23453885				European
63	Schizophrenia	7893279	intron	CACNB2	783	CACNB2	783	10	18456176	2E-12	NHGRI	25056061				East Asian|Asian|European
64	Schizophrenia	10791097	intron	LOC100507431	100507431	LOC100507431	100507431	11	130848735	2E-12	NHGRI	26198764				Arab
65	Schizophrenia	12826178	nearGene-5	SHMT2	6472	SHMT2	6472	12	57228588	2E-12	NHGRI	25056061				East Asian|Asian|European
66	Schizophrenia	1378559	intergenic	RPS6KA3	6197	CNKSR2	22866	X	21362148	2E-12	NHGRI	25056061				East Asian|Asian|European
67	Schizophrenia	2535629	intron	ITIH3	3699	ITIH3	3699	3	52799203	3E-12	NHGRI	23453885				European
68	Schizophrenia	55661361	intron	LOC102724457	102724457	LOC102724457	102724457	11	124744061	3E-12	NHGRI	25056061				East Asian|Asian|European
69	Schizophrenia	55661361	intron	NRGN	4900	NRGN	4900	11	124744061	3E-12	NHGRI	25056061				East Asian|Asian|European
70	Schizophrenia	4702	nearGene-5	FES	2242	FES	2242	15	90883330	3E-12	NHGRI	26198764				Arab
71	Schizophrenia	4702	UTR-3	FURIN	5045	FURIN	5045	15	90883330	3E-12	NHGRI	26198764				Arab
72	Schizophrenia	9636107	intron	TCF4	6925	TCF4	6925	18	55532886	3E-12	NHGRI	25056061				East Asian|Asian|European
73	Schizophrenia	11693094	intron	ZNF804A	91752	ZNF804A	91752	2	184736693	4E-12	NHGRI	26198764				Arab
74	Schizophrenia	9461856	intron	SYNGAP1	8831	SYNGAP1	8831	6	33427422	4E-12	NHGRI	26198764				Arab
75	Schizophrenia	1006737	intron	CACNA1C	775	CACNA1C	775	12	2236129	5E-12	NHGRI	23974872				European
76	Schizophrenia	1635	nearGene-5	ZKSCAN4	387032	ZKSCAN4	387032	6	28259826	7E-12	NHGRI	22037552				East Asian
77	Schizophrenia	1635	missense	NKAPL	222698	NKAPL	222698	6	28259826	7E-12	NHGRI	22037552				East Asian
78	Schizophrenia	75059851	intron	IGSF9B	22997	IGSF9B	22997	11	133952674	7E-12	NHGRI	26198764				Arab
79	Schizophrenia	11682175	intergenic	EIF2S2P7	647016	VRK2	7444	2	57760458	1E-11	NHGRI	25056061				East Asian|Asian|European
80	Schizophrenia	17194490	intron	CNTN4	152330	CNTN4	152330	3	2506102	1E-11	NHGRI	26198764				Arab
81	Schizophrenia	11038167	intron	TSPAN18	90139	TSPAN18	90139	11	44821583	1E-11	NHGRI	22037552				East Asian
82	Schizophrenia	12826178	nearGene-5	SHMT2	6472	SHMT2	6472	12	57228588	1E-11	NHGRI	26198764				Arab
83	Schizophrenia	6065094	intron	PPP1R16B	26051	PPP1R16B	26051	20	38824551	1E-11	NHGRI	25056061				East Asian|Asian|European
84	Schizophrenia	1625579	intron	MIR137HG	400765	MIR137HG	400765	1	98037378	2E-11	NHGRI	21926974				European
85	Schizophrenia	1625579	intron	MIR137HG	400765	MIR137HG	400765	1	98037378	2E-11	NHGRI	23453885				European
86	Schizophrenia	6434928	intergenic	SF3B1	23451	COQ10B	80219	2	197439853	2E-11	NHGRI	25056061				East Asian|Asian|European
87	Schizophrenia	2535627	intergenic	ITIH3	3699	ITIH4	3700	3	52811089	2E-11	NHGRI	26198764				Arab
88	Schizophrenia	66691851	intron	STAG1	10274	STAG1	10274	3	136435986	2E-11	NHGRI	26198764				Arab
89	Schizophrenia	950169	STOP-GAIN	ADAMTSL3	57188	ADAMTSL3	57188	15	84037709	2E-11	NHGRI	25056061				East Asian|Asian|European
90	Schizophrenia	72934570	intergenic	RPL21P126	100271449	LOC642484	642484	18	55865958	2E-11	NHGRI	25056061				East Asian|Asian|European
91	Schizophrenia	3788567	intron	CACNA1I	8911	CACNA1I	8911	22	39610030	2E-11	NHGRI	26198764				Arab
92	Schizophrenia	9607782	intron	EP300-AS1	101927279	EP300-AS1	101927279	22	41191552	2E-11	NHGRI	26198764				Arab
93	Schizophrenia	9607782	intron	EP300-AS1	101927279	EP300-AS1	101927279	22	41191552	2E-11	NHGRI	25056061				East Asian|Asian|European
94	Schizophrenia	17194490	intron	CNTN4	152330	CNTN4	152330	3	2506102	3E-11	NHGRI	25056061				East Asian|Asian|European
95	Schizophrenia	17693963	intergenic	GPR89P	394254	TRV-AAC1-5	791230	6	27742386	3E-11	NHGRI	22688191				European
96	Schizophrenia	17693963	intergenic	GPR89P	394254	TRV-AAC1-5	791230	6	27742386	3E-11	NHGRI	24280982				European
97	Schizophrenia	36068923	intergenic	RPSAP48	392262	EEF1A1P37	100421825	8	110473532	3E-11	NHGRI	25056061				East Asian|Asian|European
98	Schizophrenia	2514218	intergenic	MIR4301	100422855	TMPRSS5	80975	11	113522272	3E-11	NHGRI	25056061				East Asian|Asian|European
99	Schizophrenia	950169	STOP-GAIN	ADAMTSL3	57188	ADAMTSL3	57188	15	84037709	3E-11	NHGRI	26198764				Arab
100	Schizophrenia	6065094	intron	PPP1R16B	26051	PPP1R16B	26051	20	38824551	3E-11	NHGRI	26198764				Arab
101	Schizophrenia	2535627	intergenic	ITIH3	3699	ITIH4	3700	3	52811089	4E-11	NHGRI	25056061				East Asian|Asian|European
102	Schizophrenia	13096210	intergenic	FLYWCH1P1	100130898	RPL32P10	391595	3	180881530	4E-11	NHGRI	26198764				Arab
103	Schizophrenia	62402013	intron	GUSBP2	387036	GUSBP2	387036	6	26947221	4E-11	NHGRI	26198764				Arab
104	Schizophrenia	7951870	intron	DGKZ	8525	DGKZ	8525	11	46351761	4E-11	NHGRI	26198764				Arab
105	Schizophrenia	75059851	intron	IGSF9B	22997	IGSF9B	22997	11	133952674	4E-11	NHGRI	25056061				East Asian|Asian|European
106	Schizophrenia	6434928	intergenic	SF3B1	23451	COQ10B	80219	2	197439853	5E-11	NHGRI	26198764				Arab
107	Schizophrenia	12691307	intergenic	KCTD13	253980	TMEM219	124446	16	29928556	5E-11	NHGRI	25056061				East Asian|Asian|European
108	Schizophrenia	7893279	intron	CACNB2	783	CACNB2	783	10	18456176	6E-11	NHGRI	26198764				Arab
109	Schizophrenia	117752187	intergenic	MIR100	406892	TRK-TTT2-1	100189294	11	122490175	6E-11	NHGRI	27846195				European
110	Schizophrenia	11874716	intergenic	MAP1LC3P	387615	RNA5SP459	100873703	18	55083457	6E-11	NHGRI	26198764				Arab
111	Schizophrenia	10890032	intron	LINC01360	101927295	LINC01360	101927295	1	73323641	7E-11	NHGRI	26198764				Arab
112	Schizophrenia	7432375	intron	STAG1	10274	STAG1	10274	3	136569563	7E-11	NHGRI	25056061				East Asian|Asian|European
113	Schizophrenia	12704290	intron	GRM3	2913	GRM3	2913	7	86798310	7E-11	NHGRI	26198764				Arab
114	Schizophrenia	35998080	intergenic	RPL31P12	100270887	KRT8P21	126811	1	72812932	8E-11	NHGRI	26198764				Arab
115	Schizophrenia	4642619	intergenic	RPSAP48	392262	EEF1A1P37	100421825	8	110475239	8E-11	NHGRI	26198764				Arab
116	Schizophrenia	1051061	missense	VRK2	7444	VRK2	7444	2	58089679	1E-10	NHGRI	27922604				East Asian
117	Schizophrenia	9834970	intergenic	HSPD1P6	645548	TRANK1	9881	3	36814539	1E-10	NHGRI	24280982				European
118	Schizophrenia	111294930	intron	LINC01470	101927134	LINC01470	101927134	5	152797561	1E-10	NHGRI	25056061				East Asian|Asian|European
119	Schizophrenia	16887244	intron	LSM1	27257	LSM1	27257	8	38173827	1E-10	NHGRI	22037555				East Asian
120	Schizophrenia	17691888	intron	CACNB2	783	CACNB2	783	10	18445599	1E-10	NHGRI	23974872				European
121	Schizophrenia	7405404	intergenic	SHISA9	729993	ERCC4	2072	16	13656002	1E-10	NHGRI	26198764				Arab
122	Schizophrenia	3131296	intron	NOTCH4	4855	NOTCH4	4855	6	32205216	2E-10	NHGRI	19571808				European
123	Schizophrenia	4129585	intron	TSNARE1	203062	TSNARE1	203062	8	142231572	2E-10	NHGRI	23974872				European
124	Schizophrenia	2514218	intergenic	MIR4301	100422855	TMPRSS5	80975	11	113522272	2E-10	NHGRI	26198764				Arab
125	Schizophrenia	4766428	intron	ATP2A2	488	ATP2A2	488	12	110285440	2E-10	NHGRI	26198764				Arab
126	Schizophrenia	12691307	intergenic	KCTD13	253980	TMEM219	124446	16	29928556	2E-10	NHGRI	26198764				Arab
127	Schizophrenia	5937157	intergenic	EFNB1	1947	PJA1	64219	X	69157283	2E-10	NHGRI	25056061				East Asian|Asian|European
128	Schizophrenia	11210892	intergenic	PTPRF	5792	KDM4A	9682	1	43634413	3E-10	NHGRI	25056061				East Asian|Asian|European
129	Schizophrenia	12704290	intron	GRM3	2913	GRM3	2913	7	86798310	3E-10	NHGRI	25056061				East Asian|Asian|European
130	Schizophrenia	12903146	intergenic	RNA5SP397	100873650	VPS13C	54832	15	61562464	3E-10	NHGRI	25056061				East Asian|Asian|European
131	Schizophrenia	4523957	intron	SRR	63826	SRR	63826	17	2305605	3E-10	NHGRI	25056061				East Asian|Asian|European
132	Schizophrenia	4523957	nearGene-5	SMG6	23293	SMG6	23293	17	2305605	3E-10	NHGRI	25056061				East Asian|Asian|European
133	Schizophrenia	12966547	intergenic	MAP1LC3P	387615	RNA5SP459	100873703	18	55084786	3E-10	NHGRI	23453885				European
134	Schizophrenia	1261117	intron	TCF4	6925	TCF4	6925	18	55282426	3E-10	NHGRI	23894747				European
135	Schizophrenia	10789369	intergenic	KRT8P21	126811	LRRIQ3	127255	1	73359226	4E-10	NHGRI	23974872				European
136	Schizophrenia	140505938	intron	OTUD7B	56957	OTUD7B	56957	1	150059494	4E-10	NHGRI	25056061				East Asian|Asian|European
137	Schizophrenia	140505938	intron	OTUD7B	56957	OTUD7B	56957	1	150059494	4E-10	NHGRI	26198764				Arab
138	Schizophrenia	77502336	intron	GRAMD1B	57476	GRAMD1B	57476	11	123523928	4E-10	NHGRI	26198764				Arab
139	Schizophrenia	12903146	intergenic	RNA5SP397	100873650	VPS13C	54832	15	61562464	4E-10	NHGRI	26198764				Arab
140	Schizophrenia	2905426	intergenic	MAU2	23383	GATAD2A	54815	19	19367213	4E-10	NHGRI	25056061				East Asian|Asian|European
141	Schizophrenia	115070292	intergenic	UBD	10537	OR2H5P	26713	6	29563197	5E-10	NHGRI	27922604				East Asian
142	Schizophrenia	16935279	intron	LINC01592	100505718	LINC01592	100505718	8	68961217	5E-10	NHGRI	25944848				European
143	Schizophrenia	12908161	intergenic	NMB	4828	SEC11A	23478	15	84664594	5E-10	NHGRI	26198764				Arab
144	Schizophrenia	6918586	intergenic	HFE	3077	HIST1H4C	8364	6	26097156	6E-10	NHGRI	26198764				Arab
145	Schizophrenia	4721295	intron	MAD1L1	8379	MAD1L1	8379	7	1997034	6E-10	NHGRI	24166486				Asian|African|European|African American
146	Schizophrenia	5757717	intergenic	RPS19BP1	91582	CACNA1I	8911	22	39546229	6E-10	NHGRI	26198764				Arab
147	Schizophrenia	6002655	intron	TCF20	6942	TCF20	6942	22	42207808	6E-10	NHGRI	26198764				Arab
148	Schizophrenia	1498232	intergenic	PTPRU	10076	MATN1	4146	1	29961104	7E-10	NHGRI	26198764				Arab
149	Schizophrenia	6984242	intergenic	NUDT15P1	574532	CA8	767	8	59787910	7E-10	NHGRI	26198764				Arab
150	Schizophrenia	133047	intron	MKL1	57591	MKL1	57591	22	40631815	7E-10	NHGRI	26198764				Arab
151	Schizophrenia	10883795	intron	AS3MT	57412	AS3MT	57412	10	102894820	8E-10	NHGRI	27922604				East Asian
152	Schizophrenia	10883795	intron	C10orf32-ASMT	100528007	C10orf32-ASMT	100528007	10	102894820	8E-10	NHGRI	27922604				East Asian
153	Schizophrenia	4648845	intron	PLCH2	9651	PLCH2	9651	1	2455662	9E-10	NHGRI	25056061				East Asian|Asian|European
154	Schizophrenia	210152	intergenic	ZBTB9	221504	BAK1	578	6	33547743	9E-10	NHGRI	26198764				Arab
155	Schizophrenia	3798869	intron	SNAP91	9892	SNAP91	9892	6	83618941	9E-10	NHGRI	26198764				Arab
156	Schizophrenia	10520163	intron	CLCN3	1182	CLCN3	1182	4	169705401	1E-9	NHGRI	25056061				East Asian|Asian|European
157	Schizophrenia	2973155	intergenic	TRC-ACA1-1	100189508	GRIA1	2890	5	153229059	1E-9	NHGRI	26198764				Arab
158	Schizophrenia	3132565	intron	PSORS1C1	170679	PSORS1C1	170679	6	31135187	1E-9	NHGRI	26198764				Arab
159	Schizophrenia	6466055	intron	SRPK2	6733	SRPK2	6733	7	105288617	1E-9	NHGRI	26198764				Arab
160	Schizophrenia	6466055	intron	SRPK2	6733	SRPK2	6733	7	105288617	1E-9	NHGRI	25056061				East Asian|Asian|European
161	Schizophrenia	4766428	intron	ATP2A2	488	ATP2A2	488	12	110285440	1E-9	NHGRI	25056061				East Asian|Asian|European
162	Schizophrenia	2332700	intron	RGS6	9628	RGS6	9628	14	71950609	1E-9	NHGRI	26198764				Arab
163	Schizophrenia	7405404	intergenic	SHISA9	729993	ERCC4	2072	16	13656002	1E-9	NHGRI	25056061				East Asian|Asian|European
164	Schizophrenia	4523957	intron	SRR	63826	SRR	63826	17	2305605	1E-9	NHGRI	26198764				Arab
165	Schizophrenia	4523957	nearGene-5	SMG6	23293	SMG6	23293	17	2305605	1E-9	NHGRI	26198764				Arab
166	Schizophrenia	4648845	intron	PLCH2	9651	PLCH2	9651	1	2455662	2E-9	NHGRI	26198764				Arab
167	Schizophrenia	17693963	intergenic	GPR89P	394254	TRV-AAC1-5	791230	6	27742386	2E-9	NHGRI	24166486				Asian|African|European|African American
168	Schizophrenia	117074560	intergenic	KRT18P50	442236	FUT9	10690	6	96011775	2E-9	NHGRI	25056061				East Asian|Asian|European
169	Schizophrenia	10275045	intron	MAD1L1	8379	MAD1L1	8379	7	1881190	2E-9	NHGRI	24280982				European
170	Schizophrenia	12666575	intron	MAD1L1	8379	MAD1L1	8379	7	1964786	2E-9	NHGRI	22688191				European
171	Schizophrenia	3735025	UTR-3	DGKI	9162	DGKI	9162	7	137390098	2E-9	NHGRI	26198764				Arab
172	Schizophrenia	11139497	intergenic	DDX10P2	401533	RPS2P34	442426	9	82125026	2E-9	NHGRI	26198764				Arab
173	Schizophrenia	7914558	intron	CNNM2	54805	CNNM2	54805	10	103016151	2E-9	NHGRI	23453885				European
174	Schizophrenia	11191580	intron	NT5C2	22978	NT5C2	22978	10	103146454	2E-9	NHGRI	22688191				European
175	Schizophrenia	9420	intron	TMX2-CTNND1	100528016	TMX2-CTNND1	100528016	11	57742822	2E-9	NHGRI	25056061				East Asian|Asian|European
176	Schizophrenia	9420	intron	C11orf31	280636	C11orf31	280636	11	57742822	2E-9	NHGRI	25056061				East Asian|Asian|European
177	Schizophrenia	12807809	intergenic	SPA17	53340	NRGN	4900	11	124736389	2E-9	NHGRI	19571808				European
178	Schizophrenia	7940866	intergenic	SNX19	399979	NTM	50863	11	130947684	2E-9	NHGRI	23974872				European
179	Schizophrenia	9922678	intron	GRIN2A	2903	GRIN2A	2903	16	9852462	2E-9	NHGRI	26198764				Arab
180	Schizophrenia	2053079	intron	ZNF536	9745	ZNF536	9745	19	30496516	2E-9	NHGRI	26198764				Arab
181	Schizophrenia	6002655	intron	TCF20	6942	TCF20	6942	22	42207808	2E-9	NHGRI	25056061				East Asian|Asian|European
182	Schizophrenia	1498232	intergenic	PTPRU	10076	MATN1	4146	1	29961104	3E-9	NHGRI	25056061				East Asian|Asian|European
183	Schizophrenia	3001723	intron	PTPRF	5792	PTPRF	5792	1	43572014	3E-9	NHGRI	26198764				Arab
184	Schizophrenia	11717383	intergenic	PPM1M	132160	WDR82	80335	3	52253452	3E-9	NHGRI	26198764				Arab
185	Schizophrenia	17504622	intergenic	TRC-ACA1-1	100189508	GRIA1	2890	5	153274919	3E-9	NHGRI	23974872				European
186	Schizophrenia	17693963	intergenic	GPR89P	394254	TRV-AAC1-5	791230	6	27742386	3E-9	NHGRI	24280982				European
187	Schizophrenia	1800625	nearGene-5	AGER	177	AGER	177	6	32184665	3E-9	NHGRI	26876947				East Asian|European
188	Schizophrenia	1800625	nearGene-3	PBX2	5089	PBX2	5089	6	32184665	3E-9	NHGRI	26876947				East Asian|European
189	Schizophrenia	3735025	UTR-3	DGKI	9162	DGKI	9162	7	137390098	3E-9	NHGRI	25056061				East Asian|Asian|European
190	Schizophrenia	10994359	intron	ANK3	288	ANK3	288	10	60462349	3E-9	NHGRI	23453885				European
191	Schizophrenia	10883765	intron	ARL3	403	ARL3	403	10	102696929	3E-9	NHGRI	27922604				East Asian
192	Schizophrenia	11027857	intergenic	RPS2P38	196188	LUZP2	338645	11	24382074	3E-9	NHGRI	25056061				East Asian|Asian|European
193	Schizophrenia	2905424	intergenic	MAU2	23383	GATAD2A	54815	19	19362636	3E-9	NHGRI	23974872				European
194	Schizophrenia	77149735	intron	SDCCAG8	10806	SDCCAG8	10806	1	243391803	4E-9	NHGRI	25056061				East Asian|Asian|European
195	Schizophrenia	6703335	intron	SDCCAG8	10806	SDCCAG8	10806	1	243445665	4E-9	NHGRI	24166486				Asian|African|European|African American
196	Schizophrenia	111294930	intron	LINC01470	101927134	LINC01470	101927134	5	152797561	4E-9	NHGRI	26198764				Arab
197	Schizophrenia	9371601	intron	SYNE1	23345	SYNE1	23345	6	152469438	4E-9	NHGRI	23453885				European
198	Schizophrenia	11139497	intergenic	DDX10P2	401533	RPS2P34	442426	9	82125026	4E-9	NHGRI	25056061				East Asian|Asian|European
199	Schizophrenia	56205728	intron	PAK6	56924	PAK6	56924	15	40275036	4E-9	NHGRI	25056061				East Asian|Asian|European
200	Schizophrenia	9960767	intron	TCF4	6925	TCF4	6925	18	55487771	4E-9	NHGRI	19571808				European
201	Schizophrenia	2053079	intron	ZNF536	9745	ZNF536	9745	19	30496516	4E-9	NHGRI	25056061				East Asian|Asian|European
202	Schizophrenia	301797	intron	RERE	473	RERE	473	1	8427263	5E-9	NHGRI	26198764				Arab
203	Schizophrenia	301797	intron	LOC102724552	102724552	LOC102724552	102724552	1	8427263	5E-9	NHGRI	26198764				Arab
204	Schizophrenia	4330281	intergenic	TRC-GCA25-1	100189447	PP1P	151842	3	17817874	5E-9	NHGRI	25056061				East Asian|Asian|European
205	Schizophrenia	1501357	intron	HCN1	348980	HCN1	348980	5	45364773	5E-9	NHGRI	25056061				East Asian|Asian|European
206	Schizophrenia	16867576	intergenic	MEF2C-AS1	101929423	MIR3660	100500825	5	89450514	5E-9	NHGRI	25056061				East Asian|Asian|European
207	Schizophrenia	3849046	intron	ETF1	2107	ETF1	2107	5	138515503	5E-9	NHGRI	25056061				East Asian|Asian|European
208	Schizophrenia	117074560	intergenic	KRT18P50	442236	FUT9	10690	6	96011775	5E-9	NHGRI	26198764				Arab
209	Schizophrenia	9665626	intron	SUFU	51684	SUFU	51684	10	102540881	5E-9	NHGRI	26198764				Arab
210	Schizophrenia	1006737	intron	CACNA1C	775	CACNA1C	775	12	2236129	5E-9	NHGRI	23453885				European
211	Schizophrenia	12823424	intron	CACNA1C	775	CACNA1C	775	12	2404946	5E-9	NHGRI	26198764				Arab
212	Schizophrenia	2332700	intron	RGS6	9628	RGS6	9628	14	71950609	5E-9	NHGRI	25056061				East Asian|Asian|European
213	Schizophrenia	2693698	intron	BCL11B	64919	BCL11B	64919	14	99252882	5E-9	NHGRI	25056061				East Asian|Asian|European
214	Schizophrenia	2905426	intergenic	MAU2	23383	GATAD2A	54815	19	19367213	5E-9	NHGRI	26198764				Arab
