region	gene_symbol	mult_matches	pos_hg19	chr	start	end	seqnames	width	strand	method	gene_id	gene_strand	distToGene	X3UTR	X5UTR	exon	intergenic	intron	promoter	annoClass	id	by_col	gene_symbol_uncorrected	hgnc_id	approved_symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	gene_symbol_corrected_reason
chr1:17949490-17949670	ARHGEF10L	NO	chr1:17949490-17949670	chr1	17949490	17949670	chr1	181	*	polyA	ENSG00000074964.12	+	0	0	0	1	0	1	0	exonIntron	chr1:17949490-17949670	ENSG00000074964	ARHGEF10L	HGNC:25540	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	protein-coding gene	gene with protein product	Approved	1p36.13	01p36.13	FLJ10521|KIAA1626	GrinchGEF	NA	Rho guanine nucleotide exchange factor (GEF) 10-like	Rho guanine nucleotide exchange factors	722	2005-06-23	NA	2015-11-09	2015-11-09	55160	OTTHUMG00000002514	uc001ban.4	AB046846	NM_018125	CCDS182|CCDS30617	Q9HCE6	10997877|16112081	MGI:1920004	RGD:1585585	NA	ARHGEF10L	612494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr6:36981384-36981541	FGD2	NO	chr6:36981384-36981541	chr6	36981384	36981541	chr6	158	*	polyA	ENSG00000146192.10	+	0	1	0	1	0	0	0	strictExonic	chr6:36981384-36981541	ENSG00000146192	FGD2	HGNC:3664	FGD2	FYVE, RhoGEF and PH domain containing 2	protein-coding gene	gene with protein product	Approved	6p21.2	06p21.2	ZFYVE4	NA	NA	FGD1 family, member 2	Zinc fingers FYVE-type|Pleckstrin homology domain containing|Rho guanine nucleotide exchange factors	81|682|722	1999-05-17	NA	2004-08-24	2015-09-11	221472	OTTHUMG00000014616	uc010jwp.2	AK097230	NM_173558	CCDS4829	Q7Z6J4	10458911	MGI:1347084	RGD:1309840	NA	FGD2	605091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr9:139571036-139571132	AGPAT2	NO	chr9:139571036-139571132	chr9	139571036	139571132	chr9	97	*	polyA	ENSG00000169692.8	-	0	0	0	1	0	1	0	exonIntron	chr9:139571036-139571132	ENSG00000169692	AGPAT2	HGNC:325	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding gene	gene with protein product	Approved	9q34.3	09q34.3	LPAAT-beta	lysophosphatidic acid acyltransferase, beta	BSCL	Berardinelli-Seip congenital lipodystrophy|1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	1-acylglycerol-3-phosphate O-acyltransferases	46	1999-12-07	NA	2013-02-05	2015-08-24	10555	OTTHUMG00000020936	uc004cii.2	AF000237	NM_006412	CCDS7003|CCDS35181	O15120	9242711|9212163	MGI:1914762	RGD:1309229	NA	AGPAT2	603100	NA	NA	NA	NA	119525	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3.1.51	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:150530948-150531125	ADAMTSL4	NO	chr1:150530948-150531125	chr1	150530948	150531125	chr1	178	*	polyA	ENSG00000143382.9	+	0	0	0	1	0	0	1	strictExonic	chr1:150530948-150531125	ENSG00000143382	ADAMTSL4	HGNC:19706	ADAMTSL4	ADAMTS like 4	protein-coding gene	gene with protein product	Approved	1q21.2	01q21.2	DKFZP434K1772	NA	TSRC1	thrombospondin repeat containing 1	ADAMTS like	947	2003-06-02	2005-12-01	2015-11-09	2015-11-09	54507	OTTHUMG00000034863	uc001eux.5	BC027478	NM_019032	CCDS955|CCDS30852|CCDS72908	Q6UY14	12706885	MGI:2389008	RGD:1561012	NA	ADAMTSL4	610113	NA	NA	NA	NA	178791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr5:176315332-176315865	HK3	NO	chr5:176315332-176315865	chr5	176315332	176315865	chr5	534	*	polyA	ENSG00000160883.6	-	0	0	0	2	0	1	1	exonIntron	chr5:176315332-176315865	ENSG00000160883	HK3	HGNC:4925	HK3	hexokinase 3	protein-coding gene	gene with protein product	Approved	5q35.2	05q35.2	NA	NA	NA	hexokinase 3 (white cell)	NA	NA	1993-03-11	NA	2016-01-22	2016-01-22	3101	OTTHUMG00000130855	uc003mfa.4	NA	NM_002115	CCDS4407	P52790	8812439	MGI:2670962	RGD:2798	NA	HK3	142570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7.1.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr12:57572141-57572386	LRP1	NO	chr12:57572141-57572386	chr12	57572141	57572386	chr12	246	*	polyA	ENSG00000123384.9	+	0	0	0	1	0	1	0	exonIntron	chr12:57572141-57572386	ENSG00000123384	LRP1	HGNC:6692	LRP1	LDL receptor related protein 1	protein-coding gene	gene with protein product	Approved	12q13.3	12q13.3	LRP|CD91|LRP1A|APOER	transforming growth factor-β receptor type V	APR|A2MR|IGFBP3R1|IGFBP-3R	alpha-2-macroglobulin receptor|low density lipoprotein receptor-related protein 1	CD molecules|Low density lipoprotein receptors	471|634	1991-08-21	NA	2015-11-13	2018-04-24	4035	OTTHUMG00000044412	uc001snd.4	X13916	NM_002332	CCDS8932	Q07954	2548950	MGI:96828	RGD:1307535	NA	LRP1	107770	NA	NA	NA	NA	448482	NA	NA	NA	NA	NA	NA	NA	CD91	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:38818835-38819160	KCNK6	NO	chr19:38818835-38819160	chr19	38818835	38819160	chr19	326	*	polyA	ENSG00000099337.3	+	0	1	0	0	0	0	0	3UTR	chr19:38818835-38819160	ENSG00000099337	KCNK6	HGNC:6281	KCNK6	potassium two pore domain channel subfamily K member 6	protein-coding gene	gene with protein product	Approved	19q13.2	19q13.2	K2p6.1|TWIK-2	NA	NA	potassium channel, subfamily K, member 6|potassium channel, two pore domain subfamily K, member 6	Potassium two pore domain channel subfamily K 	277	1999-04-07	NA	2016-02-04	2016-10-11	9424	OTTHUMG00000182325	uc002oic.4	AF117708	NM_004823	CCDS12513	Q9Y257	10075682|10393428|16382106	MGI:1891291	RGD:621450	NA	KCNK6	603939	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:518	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr16:85029527-85029613	ZDHHC7	NO	chr16:85029527-85029613	chr16	85029527	85029613	chr16	87	*	polyA	ENSG00000153786.8	-	0	0	1	0	0	1	0	strictIntronic	chr16:85029527-85029613	ENSG00000153786	ZDHHC7	HGNC:18459	ZDHHC7	zinc finger DHHC-type containing 7	protein-coding gene	gene with protein product	Approved	16q24.1	16q24.1	FLJ10792|ZNF370|FLJ20279|SERZ-B|SERZ1|DHHC7	Sertoli cell gene with zinc finger domain-β	NA	NA	Zinc fingers DHHC-type	76	2002-04-04	NA	2016-02-15	2018-04-18	55625	OTTHUMG00000137645	uc002fiq.3	AK000286	NM_017740	CCDS10950|CCDS45538	Q9NXF8	27380321	MGI:2142662	RGD:620205	NA	ZDHHC7	614604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr12:10342777-10343008	TMEM52B	NO	chr12:10342777-10343008	chr12	10342777	10343008	chr12	232	*	polyA	ENSG00000165685.4	+	0	1	0	0	0	0	0	3UTR	chr12:10342777-10343008	ENSG00000165685	TMEM52B	HGNC:26438	TMEM52B	transmembrane protein 52B	protein-coding gene	gene with protein product	Approved	12p13.2	12p13.2	FLJ31166	NA	C12orf59	chromosome 12 open reading frame 59	NA	NA	2006-02-09	2012-08-15	2012-08-15	2014-11-18	120939	OTTHUMG00000168410	uc031yuk.2	AY358845	NM_153022	CCDS8619|CCDS66314	Q4KMG9	12975309	MGI:2442838	RGD:1586337	NA	TMEM52B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr19:51633147-51633528	SIGLEC9	NO	chr19:51633147-51633528	chr19	51633147	51633528	chr19	382	*	polyA	ENSG00000129450.4	+	0	1	0	1	0	1	0	exonIntron	chr19:51633147-51633528	ENSG00000129450	SIGLEC9	HGNC:10878	SIGLEC9	sialic acid binding Ig like lectin 9	protein-coding gene	gene with protein product	Approved	19q13.3-q13.4	19q13.3-q13.4	CD329	NA	NA	sialic acid binding Ig-like lectin 9	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins	471|590|745	2000-03-29	NA	2016-01-20	2016-01-20	27180	OTTHUMG00000182894	uc002pvu.4	AF135027	NM_014441	CCDS12825|CCDS56100	Q9Y336	10903842	MGI:1932475	NA	NA	SIGLEC9	605640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CDw329	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:28207867-28208078	THEMIS2	NO	chr1:28207867-28208078	chr1	28207867	28208078	chr1	212	*	polyA	ENSG00000130775.11	+	0	0	0	0	0	1	1	strictIntronic	chr1:28207867-28208078	ENSG00000130775	THEMIS2	HGNC:16839	THEMIS2	thymocyte selection associated family member 2	protein-coding gene	gene with protein product	Approved	1p35.3	01p35.3	ICB-1|Icb-1	induced by contact to basement membrane 1	C1orf38	chromosome 1 open reading frame 38	NA	NA	2003-01-16	2012-07-10	2012-07-10	2016-10-05	9473	OTTHUMG00000003735	uc001bpc.6	AF044896	NM_004848	CCDS30653|CCDS30654|CCDS41290|CCDS65461	Q5TEJ8	16219472	MGI:2446213	RGD:1561016	NA	NA	617856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr2:37594374-37594551	QPCT	NO	chr2:37594374-37594551	chr2	37594374	37594551	chr2	178	*	polyA	ENSG00000115828.11	+	0	0	0	1	0	0	0	strictExonic	chr2:37594374-37594551	ENSG00000115828	QPCT	HGNC:9753	QPCT	glutaminyl-peptide cyclotransferase	protein-coding gene	gene with protein product	Approved	2p22.2	02p22.2	QC|GCT	glutaminyl cyclase	NA	NA	NA	NA	1999-11-16	NA	2008-07-31	2016-10-05	25797	OTTHUMG00000100963	uc002rqg.4	X71125	NM_012413	CCDS1790	Q16769	7999256	MGI:1917786	RGD:1562284	NA	QPCT	607065	NA	NA	NA	NA	NA	NA	NA	M28.974	NA	objectId:2411	NA	NA	NA	NA	2.3.2.5	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:150529096-150529269	ADAMTSL4	NO	chr1:150529096-150529269	chr1	150529096	150529269	chr1	174	*	polyA	ENSG00000143382.9	+	0	0	0	2	0	1	1	exonIntron	chr1:150529096-150529269	ENSG00000143382	ADAMTSL4	HGNC:19706	ADAMTSL4	ADAMTS like 4	protein-coding gene	gene with protein product	Approved	1q21.2	01q21.2	DKFZP434K1772	NA	TSRC1	thrombospondin repeat containing 1	ADAMTS like	947	2003-06-02	2005-12-01	2015-11-09	2015-11-09	54507	OTTHUMG00000034863	uc001eux.5	BC027478	NM_019032	CCDS955|CCDS30852|CCDS72908	Q6UY14	12706885	MGI:2389008	RGD:1561012	NA	ADAMTSL4	610113	NA	NA	NA	NA	178791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr7:77011890-77011960	GSAP	NO	chr7:77011890-77011960	chr7	77011890	77011960	chr7	71	*	polyA	ENSG00000186088.11	-	0	0	0	1	0	1	0	exonIntron	chr7:77011890-77011960	ENSG00000186088	GSAP	HGNC:28042	GSAP	gamma-secretase activating protein	protein-coding gene	gene with protein product	Approved	7q11.23	07q11.23	LOC54103	NA	PION	pigeon homolog (Drosophila)	NA	NA	2008-08-12	2013-04-05	2013-04-05	2013-04-05	54103	OTTHUMG00000150504	uc003ugf.3	NA	NM_017439	CCDS34672	A4D1B5	20811458	MGI:2442259	RGD:1563271	NA	NA	613552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:12009829-12009963	PLOD1	NO	chr1:12009829-12009963	chr1	12009829	12009963	chr1	135	*	polyA	ENSG00000083444.12	+	0	0	0	1	0	1	0	exonIntron	chr1:12009829-12009963	ENSG00000083444	PLOD1	HGNC:9081	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	protein-coding gene	gene with protein product	Approved	1p36.22	01p36.22	LH1	lysyl hydroxlase 1	LLH|PLOD	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	NA	NA	1991-07-11	2004-12-14	2016-04-06	2016-04-06	5351	OTTHUMG00000002393	uc001atm.4	BC016657	NM_000302	CCDS142	Q02809	1577494	MGI:99907	RGD:621382	NA	PLOD1	153454	NA	NA	NA	NA	117888	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14.11.4	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr12:8210985-8212791	C3AR1	NO	chr12:8210985-8212791	chr12	8210985	8212791	chr12	1807	*	polyA	ENSG00000171860.4	-	0	1	1	1	0	0	0	strictExonic	chr12:8210985-8212791	ENSG00000171860	C3AR1	HGNC:1319	C3AR1	complement C3a receptor 1	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	C3AR|AZ3B	NA	NA	complement component 3a receptor 1	Complement component GPCRs|Complement system regulators and receptors	196|1639	1997-05-22	NA	2016-08-10	2016-08-10	719	OTTHUMG00000168569	uc001qtv.2	U28488	NM_004054	CCDS8588	Q16581	8605247	MGI:1097680	RGD:620537	NA	C3AR1	605246	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:31	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr22:19949793-19949915	COMT	NO	chr22:19949793-19949915	chr22	19949793	19949915	chr22	123	*	polyA	ENSG00000093010.7	+	0	0	1	0	0	0	0	5UTR	chr22:19949793-19949915	ENSG00000093010	COMT	HGNC:2228	COMT	catechol-O-methyltransferase	protein-coding gene	gene with protein product	Approved	22q11.21	22q11.21	NA	NA	NA	NA	Seven-beta-strand methyltransferase motif containing	1400	2001-06-22	NA	NA	2018-12-06	1312	OTTHUMG00000150529	uc002zqu.4	NA	NM_000754	CCDS13770|CCDS46663	P21964	1572656	MGI:88470	RGD:2379	LRG_1010|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1010.xml	COMT	116790	NA	NA	NA	NA	241992	NA	NA	NA	NA	objectId:2472	NA	NA	NA	NA	2.1.1.6	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
